PROGETTO,CLASSE,ANIJ,ANYC,COMMENTS_DENSITY,WPJC,FLESCH,KINCAID,FOG,TOKENS,NOUNS,VERBS,SPW,RSYNC,PSYNC,ESYNC,DIR,class
ArgoUML,AbstractArgoJPanel.java,0.666667,0.909091,60.849057,8.857143,Piuttosto-Facile,5.214286,Difficile,15.055556,3.722222,2.166667,0.444444,0,40,100,100,High
ArgoUML,Argo.java,0.307692,1,69.398907,8.631579,Difficile,10.715789,Illeggibile,5.653846,1.961538,0.730769,0.115385,0,100,100,100,High
ArgoUML,StartCritics.java,0.333333,0,47.916667,4.5,Molto-Facile,1.25,Accettabile,6,2,1.333333,0.666667,100,100,100,100,Medium
ArgoUML,SubsystemUtility.java,1,1,69.333333,5,Standard,6.28,Illeggibile,24,8,3.5,0,100,100,100,100,Very-High
ArgoUML,ArgoEventPump.java,0.5,0.483871,34.249471,5.961538,Piuttosto-Facile,5.019231,Difficile,9.941176,2.676471,1.735294,0.117647,0,47.058824,100,53.571429,High
ArgoUML,ArgoEventTypes.java,1,1,79.187817,3.948718,Piuttosto-Difficile,6.764103,Illeggibile,6.641026,2.25641,1.923077,0.153846,100,100,100,100,Very-High
ArgoUML,ArgoNotationEvent.java,1,1,87.5,6,Standard,6.7,Difficile,12.5,3,4,1,100,100,100,100,Very-High
ArgoUML,ArgoProfileEvent.java,1,1,87.931034,6,Standard,6.8,Difficile,11,3,3.5,1,100,100,100,100,Very-High
ArgoUML,ArgoStatusEvent.java,0.6,0.666667,79.166667,11.666667,Piuttosto-Facile,5.9,Difficile,14.6,4.2,3,0.2,0,100,100,66.666667,High
ArgoUML,GUISettingsTabInterface.java,1,1,89.130435,10.142857,Facile,3.585714,Ideale,132,39,23,5,100,100,100,100,Very-High
ArgoUML,InitSubsystem.java,1,1,89.74359,12.6,Piuttosto-Facile,5.54,Difficile,23.6,6.8,3.8,0.6,100,100,100,100,Very-High
ArgoUML,Main.java,0.552632,0.615385,29.806598,8.362069,Standard,6.994828,Illeggibile,25.342105,7.184211,4.394737,0.868421,0,61.538462,100,53.333333,High
ArgoUML,ArgoDiagramAppearanceEvent.java,1,1,84.745763,8,Standard,6.066667,Difficile,16,4.333333,4,1.666667,0,100,100,100,Very-High
ArgoUML,ArgoDiagramAppearanceEventListener.java,1,1,90.196078,6,Molto-Confusionario,14.3,Illeggibile,11,2,3,1,100,100,100,100,Very-High
ArgoUML,ArgoEvent.java,0.8,1,75.824176,9.2,Standard,6.8,Difficile,18.6,5.4,3.2,0.8,0,100,100,100,Very-High
ArgoUML,ArgoEventListener.java,1,1,91.304348,9,Difficile,9.9,Illeggibile,12,5,2,0,100,100,100,100,Very-High
ArgoUML,ArgoGeneratorEvent.java,1,1,87.5,7,Difficile,8.85,Illeggibile,14.5,3,5,1,100,100,100,100,Very-High
ArgoUML,ArgoGeneratorEventListener.java,1,1,88.52459,3.25,Molto-Confusionario,14,Illeggibile,7.75,1.25,3.25,0.75,100,100,100,100,Very-High
ArgoUML,ArgoHelpEvent.java,0.6,0.666667,78.873239,8.333333,Facile,3.466667,Difficile,10.4,2.4,2.2,0.2,0,100,100,66.666667,High
ArgoUML,ArgoNotationEventListener.java,1,1,87.671233,4.5,Molto-Confusionario,11.533333,Illeggibile,9.833333,2.166667,3.5,0.833333,100,100,100,100,Very-High
ArgoUML,ArgoProfileEventListener.java,1,1,89.285714,4.666667,Molto-Confusionario,11.033333,Illeggibile,9.333333,2,3.333333,0.666667,100,100,100,100,Very-High
ArgoUML,ArgoStatusEventListener.java,1,1,88.888889,6.833333,Piuttosto-Difficile,7.416667,Difficile,14.666667,2.166667,5,1.166667,100,100,100,100,Very-High
ArgoUML,ArgoVersion.java,0.8,1,84.057971,5,Difficile,9.825,Illeggibile,7,2.2,1.2,0.2,100,100,100,100,Very-High
ArgoUML,CommandLineInterface.java,1,1,92.982456,13,Piuttosto-Facile,6.5,Difficile,30,7.5,6.5,2,100,100,100,100,Very-High
ArgoUML,Predicate.java,0.5,1,91.304348,7,Molto-Confusionario,12.3,Illeggibile,6,2,1.5,0.5,100,100,100,100,Very-High
Jedit,GenerateTocXML.java,0,0,16.82243,0,Molto-Confusionario,0,Infantile,0,0,0,0,0,0,0,0,Very-Low
Jedit,Native2ASCIIEncodingTest.java,0,0,1.36612,0,Molto-Confusionario,0,Infantile,0,0,0,0,0,0,0,0,Very-Low
Jedit,NonInteractiveInstall.java,0.666667,0,22.077922,2.5,Molto-Confusionario,19,Illeggibile,2,1,0,0,100,0,100,0,Low
Jedit,OperatingSystem.java,0.022727,0,9.034268,5.545455,Standard,5.9,Illeggibile,2.295455,0.704545,0.386364,0.136364,0,0,0,0,Very-Low
Jedit,ConsoleInstall.java,0.5,0,16.239316,3.4,Difficile,8.72,Illeggibile,4.75,1.75,0.75,0.25,0,0,100,0,Low
Jedit,ConsoleProgress.java,0.166667,0,40.540541,6,Standard,6.4,Illeggibile,1.5,0.5,0.333333,0,100,0,100,0,Low
